,crop,N,P,K,pH,Moisture,N_min,N_max,P_min,P_max,K_min,K_max,A_min,A_max
0,rice,,,,,,60.0,99.0,35.0,60.0,35.0,45.0,5.005306977,7.868474653
1,maize,,,,,,60.0,100.0,35.0,60.0,15.0,25.0,5.513697923,6.995843776
2,chickpea,,,,,,20.0,60.0,55.0,80.0,75.0,85.0,5.988992796000002,8.868741443
3,kidneybeans,,,,,,0.0,40.0,55.0,80.0,15.0,25.0,5.502999119,5.99812453
4,pigeonpeas,,,,,,0.0,40.0,55.0,80.0,15.0,25.0,4.548202098,7.445444882999999
5,mothbeans,,,,,,0.0,40.0,35.0,60.0,15.0,25.0,3.504752314,9.93509073
6,mungbean,,,,,,0.0,40.0,35.0,60.0,15.0,25.0,6.218923893,7.199495367999999
7,blackgram,,,,,,20.0,60.0,55.0,80.0,15.0,25.0,6.500144962,7.775306272000001
8,lentil,,,,,,0.0,40.0,55.0,80.0,15.0,25.0,5.91645379,7.841496029
9,pomegranate,,,,,,0.0,40.0,5.0,30.0,35.0,45.0,5.561851831,7.199504273
10,banana,,,,,,80.0,120.0,70.0,95.0,45.0,55.0,5.505393832999999,6.490074429
11,mango,,,,,,0.0,40.0,15.0,40.0,25.0,35.0,4.507523551,6.9674177660000005
12,grapes,,,,,,0.0,40.0,120.0,145.0,195.0,205.0,5.510924848999999,6.499604931
13,watermelon,,,,,,80.0,120.0,5.0,30.0,45.0,55.0,6.000975617000001,6.956508826
14,muskmelon,,,,,,80.0,120.0,5.0,30.0,45.0,55.0,6.002927293,6.781050372999999
15,apple,,,,,,0.0,40.0,120.0,145.0,195.0,205.0,5.514253142,6.4992268210000015
16,orange,,,,,,0.0,40.0,5.0,30.0,5.0,15.0,6.010391864,7.995848977
17,papaya,,,,,,31.0,70.0,46.0,70.0,45.0,55.0,6.501521192,6.993473247000001
18,coconut,,,,,,0.0,40.0,5.0,30.0,25.0,35.0,5.50158009,6.470465614
19,cotton,,,,,,100.0,140.0,35.0,60.0,15.0,25.0,5.801047545,7.994679507000001
20,jute,,,,,,60.0,100.0,35.0,60.0,35.0,45.0,6.002524871,7.4880144039999985
21,coffee,,,,,,80.0,120.0,15.0,40.0,25.0,35.0,6.020947179,7.493191968
